order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota,total_pendapatan
MAG-2000,2026-08-12,Fashion,1,50000,Transfer Bank,Magelang,50000
MAG-2001,2026-08-18,Elektronik,7,25000,COD,Magelang,175000
MAG-2002,2026-08-07,Elektronik,7,25000,E-Wallet,Magelang,175000
MAG-2003,2026-08-24,Rumah Tangga,6,25000,COD,Magelang,150000
MAG-2004,2026-08-30,Fashion,7,100000,Transfer Bank,Magelang,700000
MAG-2005,2026-08-12,Kesehatan & Kecantikan,7,250000,Kartu Kredit,Magelang,1750000
MAG-2006,2026-08-16,Rumah Tangga,4,75000,Kartu Kredit,Magelang,300000
MAG-2007,2026-08-10,Kesehatan & Kecantikan,5,250000,Kartu Kredit,Magelang,1250000
MAG-2008,2026-08-14,Fashion,6,25000,Kartu Kredit,Magelang,150000
MAG-2009,2026-08-09,Rumah Tangga,7,150000,E-Wallet,Magelang,1050000
MAG-2010,2026-08-05,Kesehatan & Kecantikan,3,50000,E-Wallet,Magelang,150000
MAG-2011,2026-08-09,Elektronik,7,75000,Kartu Kredit,Magelang,525000
MAG-2012,2026-08-22,Kesehatan & Kecantikan,5,250000,Transfer Bank,Magelang,1250000
MAG-2013,2026-08-29,Kesehatan & Kecantikan,1,25000,Transfer Bank,Magelang,25000
MAG-2014,2026-08-29,Fashion,1,75000,Kartu Kredit,Magelang,75000
MAG-2015,2026-08-01,Elektronik,2,75000,Kartu Kredit,Magelang,150000
MAG-2016,2026-08-15,Kesehatan & Kecantikan,6,75000,Kartu Kredit,Magelang,450000
MAG-2017,2026-08-06,Kesehatan & Kecantikan,7,25000,E-Wallet,Magelang,175000
MAG-2018,2026-08-13,Fashion,6,150000,Kartu Kredit,Magelang,900000
MAG-2019,2026-08-30,Fashion,3,250000,Kartu Kredit,Magelang,750000
MAG-2020,2026-08-09,Fashion,1,75000,COD,Magelang,75000
MAG-2021,2026-08-18,Elektronik,5,75000,E-Wallet,Magelang,375000
MAG-2022,2026-08-20,Makanan & Minuman,2,150000,COD,Magelang,300000
MAG-2023,2026-08-16,Fashion,2,150000,Transfer Bank,Magelang,300000
MAG-2024,2026-08-27,Makanan & Minuman,4,75000,Kartu Kredit,Magelang,300000
MAG-2025,2026-08-09,Fashion,2,75000,COD,Magelang,150000
MAG-2026,2026-08-20,Fashion,7,250000,Kartu Kredit,Magelang,1750000
MAG-2027,2026-08-30,Elektronik,2,250000,Transfer Bank,Magelang,500000
MAG-2028,2026-08-20,Rumah Tangga,1,150000,COD,Magelang,150000
MAG-2029,2026-08-28,Elektronik,6,25000,Transfer Bank,Magelang,150000
MAG-2030,2026-08-03,Makanan & Minuman,3,50000,E-Wallet,Magelang,150000
MAG-2031,2026-08-13,Makanan & Minuman,2,250000,E-Wallet,Magelang,500000
MAG-2032,2026-08-09,Elektronik,5,150000,Kartu Kredit,Magelang,750000
MAG-2033,2026-08-26,Rumah Tangga,2,50000,Kartu Kredit,Magelang,100000
MAG-2034,2026-08-20,Elektronik,4,100000,Kartu Kredit,Magelang,400000
MAG-2035,2026-08-31,Makanan & Minuman,7,75000,Transfer Bank,Magelang,525000
MAG-2036,2026-08-11,Elektronik,2,100000,Kartu Kredit,Magelang,200000
MAG-2037,2026-08-13,Kesehatan & Kecantikan,4,25000,E-Wallet,Magelang,100000
MAG-2038,2026-08-12,Rumah Tangga,5,100000,E-Wallet,Magelang,500000
MAG-2039,2026-08-24,Makanan & Minuman,1,50000,Kartu Kredit,Magelang,50000
MAG-2040,2026-08-01,Fashion,2,75000,E-Wallet,Magelang,150000
MAG-2041,2026-08-10,Rumah Tangga,2,75000,Kartu Kredit,Magelang,150000
MAG-2042,2026-08-24,Makanan & Minuman,3,150000,COD,Magelang,450000
