order_id,tanggal,kategori,kota,unit_terjual,harga_satuan,metode_pembayaran
ORD-1000,2026-07-07T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,9,250000,E-Wallet
ORD-1001,2026-07-20T00:00:00.000000000,Makanan & Minuman,Yogyakarta,9,50000,Kartu Kredit
ORD-1002,2026-07-29T00:00:00.000000000,Fashion,Purworejo,2,50000,Kartu Kredit
ORD-1003,2026-07-15T00:00:00.000000000,Elektronik,Solo,3,50000,E-Wallet
ORD-1004,2026-07-11T00:00:00.000000000,Elektronik,Semarang,5,250000,Transfer Bank
ORD-1005,2026-07-08T00:00:00.000000000,Fashion,Solo,5,100000,COD
ORD-1006,2026-07-29T00:00:00.000000000,Makanan & Minuman,Yogyakarta,1,25000,E-Wallet
ORD-1007,2026-07-21T00:00:00.000000000,Kesehatan & Kecantikan,Solo,8,250000,Transfer Bank
ORD-1008,2026-07-07T00:00:00.000000000,Makanan & Minuman,Magelang,8,250000,Transfer Bank
ORD-1009,2026-07-26T00:00:00.000000000,Fashion,Yogyakarta,4,25000,Kartu Kredit
ORD-1010,2026-07-19T00:00:00.000000000,Rumah Tangga,Semarang,7,50000,COD
ORD-1011,2026-07-23T00:00:00.000000000,Kesehatan & Kecantikan,Magelang,3,150000,COD
ORD-1012,2026-07-11T00:00:00.000000000,Makanan & Minuman,Yogyakarta,6,25000,Kartu Kredit
ORD-1013,2026-07-11T00:00:00.000000000,Makanan & Minuman,Semarang,9,100000,E-Wallet
ORD-1014,2026-07-24T00:00:00.000000000,Fashion,Magelang,1,75000,E-Wallet
ORD-1015,2026-07-21T00:00:00.000000000,Elektronik,Magelang,5,75000,E-Wallet
ORD-1016,2026-07-04T00:00:00.000000000,Fashion,Yogyakarta,4,500000,Transfer Bank
ORD-1017,2026-07-08T00:00:00.000000000,Kesehatan & Kecantikan,Purworejo,8,500000,E-Wallet
ORD-1018,2026-07-24T00:00:00.000000000,Elektronik,Magelang,1,250000,COD
ORD-1019,2026-07-03T00:00:00.000000000,Elektronik,Magelang,9,75000,E-Wallet
ORD-1020,2026-07-22T00:00:00.000000000,Elektronik,Semarang,6,150000,Kartu Kredit
ORD-1021,2026-07-21T00:00:00.000000000,Elektronik,Solo,4,50000,E-Wallet
ORD-1022,2026-07-02T00:00:00.000000000,Rumah Tangga,Yogyakarta,9,100000,E-Wallet
ORD-1023,2026-07-24T00:00:00.000000000,Kesehatan & Kecantikan,Yogyakarta,5,500000,E-Wallet
