kota,kategori,total_pendapatan
Magelang,Elektronik,18775000
Magelang,Fashion,27750000
Magelang,Kesehatan & Kecantikan,17375000
Magelang,Makanan & Minuman,17525000
Magelang,Rumah Tangga,12200000
Semarang,Elektronik,21425000
Semarang,Fashion,26425000
Semarang,Kesehatan & Kecantikan,13525000
Semarang,Makanan & Minuman,19750000
Semarang,Rumah Tangga,10975000
Yogyakarta,Elektronik,18500000
Yogyakarta,Fashion,26625000
Yogyakarta,Kesehatan & Kecantikan,19700000
Yogyakarta,Makanan & Minuman,15175000
Yogyakarta,Rumah Tangga,17275000
