order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
YOG-2000,2026-08-20,Fashion,5,250000,E-Wallet,Yogyakarta
YOG-2001,2026-08-24,Fashion,4,150000,Kartu Kredit,Yogyakarta
YOG-2002,2026-08-29,Rumah Tangga,4,100000,E-Wallet,Yogyakarta
YOG-2003,2026-08-13,Fashion,7,250000,E-Wallet,Yogyakarta
YOG-2004,2026-08-09,Elektronik,7,75000,COD,Yogyakarta
YOG-2005,2026-08-10,Fashion,4,250000,COD,Yogyakarta
YOG-2006,2026-08-26,Fashion,1,75000,E-Wallet,Yogyakarta
YOG-2007,2026-08-08,Elektronik,5,25000,COD,Yogyakarta
YOG-2008,2026-08-07,Kesehatan & Kecantikan,7,25000,COD,Yogyakarta
YOG-2009,2026-08-23,Fashion,1,25000,E-Wallet,Yogyakarta
YOG-2010,2026-08-02,Kesehatan & Kecantikan,1,150000,Transfer Bank,Yogyakarta
YOG-2011,2026-08-08,Kesehatan & Kecantikan,7,250000,Kartu Kredit,Yogyakarta
YOG-2012,2026-08-17,Fashion,2,25000,Transfer Bank,Yogyakarta
YOG-2013,2026-08-29,Elektronik,7,150000,E-Wallet,Yogyakarta
YOG-2014,2026-08-15,Kesehatan & Kecantikan,5,250000,COD,Yogyakarta
YOG-2015,2026-08-20,Fashion,5,25000,E-Wallet,Yogyakarta
YOG-2016,2026-08-10,Fashion,1,100000,E-Wallet,Yogyakarta
YOG-2017,2026-08-31,Rumah Tangga,2,150000,E-Wallet,Yogyakarta
YOG-2018,2026-08-05,Rumah Tangga,7,250000,E-Wallet,Yogyakarta
YOG-2019,2026-08-30,Makanan & Minuman,6,250000,Transfer Bank,Yogyakarta
YOG-2020,2026-08-21,Elektronik,3,50000,Kartu Kredit,Yogyakarta
YOG-2021,2026-08-24,Makanan & Minuman,1,75000,Kartu Kredit,Yogyakarta
YOG-2022,2026-08-22,Elektronik,1,25000,Kartu Kredit,Yogyakarta
YOG-2023,2026-08-21,Rumah Tangga,3,150000,COD,Yogyakarta
YOG-2024,2026-08-09,Elektronik,2,75000,COD,Yogyakarta
YOG-2025,2026-08-27,Fashion,3,50000,E-Wallet,Yogyakarta
YOG-2026,2026-08-10,Fashion,2,50000,Kartu Kredit,Yogyakarta
YOG-2027,2026-08-16,Elektronik,3,75000,E-Wallet,Yogyakarta
YOG-2028,2026-08-12,Elektronik,2,150000,Kartu Kredit,Yogyakarta
YOG-2029,2026-08-21,Elektronik,4,75000,E-Wallet,Yogyakarta
YOG-2030,2026-08-24,Fashion,4,25000,COD,Yogyakarta
YOG-2031,2026-08-04,Makanan & Minuman,3,100000,COD,Yogyakarta
YOG-2032,2026-08-18,Fashion,1,100000,Transfer Bank,Yogyakarta
YOG-2033,2026-08-17,Fashion,1,150000,E-Wallet,Yogyakarta
YOG-2034,2026-08-04,Rumah Tangga,7,75000,Kartu Kredit,Yogyakarta
YOG-2035,2026-08-18,Elektronik,2,25000,E-Wallet,Yogyakarta
YOG-2036,2026-08-21,Fashion,3,150000,COD,Yogyakarta
YOG-2037,2026-08-09,Rumah Tangga,6,100000,Kartu Kredit,Yogyakarta
YOG-2038,2026-08-23,Elektronik,6,250000,COD,Yogyakarta
YOG-2039,2026-08-11,Elektronik,4,25000,Transfer Bank,Yogyakarta
YOG-2040,2026-08-27,Makanan & Minuman,7,100000,E-Wallet,Yogyakarta
YOG-2041,2026-08-29,Elektronik,7,150000,COD,Yogyakarta
YOG-2042,2026-08-17,Rumah Tangga,7,75000,COD,Yogyakarta
YOG-2043,2026-08-10,Makanan & Minuman,7,75000,COD,Yogyakarta
YOG-2044,2026-08-04,Kesehatan & Kecantikan,4,100000,COD,Yogyakarta
YOG-2045,2026-08-11,Fashion,2,25000,Kartu Kredit,Yogyakarta
YOG-2046,2026-08-09,Fashion,7,250000,COD,Yogyakarta
